protein_id,baseline_log2
A0A024R1R8,11.593213336534095
A0A087X1C5,14.977307363037248
A0A0A0MRZ9,8.78058469051151
A0A0A0MT76,6.259775599465608
A0A1W2PR19,13.756550036839217
A0A494C0N9,13.023776599719719
A0A494C0Y3,11.454916456741936
A0A590UK83,14.153427297292126
A0A6I8PU40,14.400843726481325
A0M8Q6,11.879033080181738
A1L190,15.65927791853937
A4QPB2,13.197119476173272
A4QPH2,12.768753761626288
A6NGB0,9.614217925586454
A6NHG4,6.022585786000077
A6NJZ7,8.40942673894178
A6NM43,13.6392050681463
A6NNM3,13.098712544371741
A6PVC2,9.310221448300942
A8K8P3,12.25582974538439
A8MPS7,7.952874794731372
A8MYP8,8.63627719269044
B1AH88,15.474080939024965
B5MCN3,10.131805729355946
B5MD39,8.449875942988545
B8ZZ34,10.871082468389915
B9A064,9.870158797873662
F5H4B4,13.295290373491056
H7C350,15.621161064908812
L0R8F8,11.91737424457692
O00178,11.911471869369151
O00192,9.64833858723483
O00501,11.646309319752953
O00541,9.193288663871382
O00587,6.010920743123419
O14791,14.660961728784851
O14994,10.294440855217053
O15031,10.920884850539966
O15371,6.835009154259282
O15442,14.37110513405392
O15499,7.703370703775904
O15547,10.106211587843159
O43246,14.402655470638813
O43247,10.577829402135194
O43251,15.311523354664637
O43272,8.093143034206896
O43435,13.152328299547714
O43731,15.779985235617275
O43759,11.49613637220311
O43808,12.92183898643993
O43819,9.932266596010084
O60688,13.51337339725469
O60704,15.088740565237291
O60733,13.030555670505292
O60755,15.359287113809792
O60784,11.886526519923097
O75132,11.77137440450963
O75140,9.046273881091555
O75170,13.09627491163786
O75419,14.819525217561553
O75600,12.463162261289312
O75631,8.330392205985829
O75648,11.441091147216866
O75677,13.55937416951415
O75678,15.393633148727528
O75679,7.565960495205539
O75791,7.274970909665606
O76054,10.12943530232906
O95236,7.256111694626108
O95248,15.804289125051184
O95461,10.243043672825593
O95502,11.33610519067905
O95503,8.270877812927713
O95567,10.491261235369294
O95696,15.846939348612198
O95721,10.886871513669695
O95755,6.088239258044862
O95907,8.425275302506305
O95922,15.78454830478504
O95931,15.890675134107326
O95985,8.104930897717058
O96015,12.152640878438534
O96017,6.769083305054145
P00387,11.774416424446292
P01127,7.259207014864375
P01701,14.18661523642658
P02144,15.395749876022444
P05162,7.7298680804948265
P05546,10.62712168594824
P07305,7.020429984746341
P09382,9.39140007072975
P09601,6.650977547605265
P0C7N4,8.645465280174271
P0C7P2,15.902236670893016
P0CF74,6.4460326732140185
P0CG04,14.589683296186706
