protein_id,graph_degree,graph_weight,graph_lift,gene_symbol,beta_age,beta_sex,beta_phenotype,mean_log2_intensity,detection_rate,phenotype_difference
Q7Z5A7,11362,54654.0,75109.75618000013,TAFA5,0.0,-0.5323955810511716,0.0,6.58133479020979,0.858,0.013307536620770222
Q8IUG5,9171,43746.0,60367.32847999969,MYO18B,0.0,0.0,0.0,9.491983897834537,0.9005,0.03244267924701205
Q9NYQ6,8192,39563.0,54781.06400999984,CELSR1,-0.760909651560344,0.0,0.0,15.3345859375,0.992,-0.003175690159554989
Q9BXF3,7219,37837.0,46926.25728999982,CECR2,0.0,0.0,0.0,7.991766431593795,0.88625,0.00026371698291249857
O95461,6986,35272.0,45246.10619000014,LARGE1,0.0,0.0,0.0,10.240723537414967,0.91875,-0.011783694500330455
Q9HBI1,5290,23806.0,35685.78366000003,PARVB,0.1537969597091325,0.0,0.5160065488397104,11.881749667464753,0.93975,0.4604549447136357
Q9BYH1,5185,26294.0,33782.2374899998,SEZ6L,0.0,0.1335019683423036,0.0,15.870723558897245,0.9975,-0.0004950689546152631
Q7RTP6,4557,21231.0,30513.15142999988,MICAL3,0.2525844997597876,0.0,-0.6175819860877398,7.781929158401813,0.88225,-0.5669372010541354
Q8WUA7,4071,17962.0,26585.676639999903,TBC1D22A,0.0,0.0,0.0,12.708110994764397,0.955,-0.03141649651287359
O14994,3971,22170.0,25272.978689999985,SYN3,0.0,0.0,0.0,10.276505346860434,0.91175,-0.03907132860173235
Q10571,3805,17567.0,25454.08558999996,MN1,0.0,0.0,-0.0837120634104703,12.215329798515377,0.943,-0.10944566455032323
P85299,3725,19223.0,24564.09122999984,PRR5,0.0,0.0,0.0,11.39585644504749,0.92125,0.04723261605047746
P11274,3616,15539.0,24872.854359999983,BCR,0.0,0.0,0.0,12.995820398531725,0.9535,-0.04797198414391346
Q8NFQ6,3342,16919.0,22145.05921999982,BPIFC,0.0,0.2430978050305563,0.0,10.710743526846553,0.91725,-0.018521753451654632
Q8IWY4,3335,17544.0,22235.97461999998,SCUBE1,0.0,0.1379234098346466,0.0,9.779326806398235,0.9065,0.003651396774040805
Q9P0X4,3204,15876.0,21178.959359999968,CACNA1I,0.0,0.3391433528362715,0.0,14.936560988031577,0.98175,-0.030753604426303482
P85298,3186,13974.0,21607.65914999986,ARHGAP8,0.0,0.0,0.0,11.7125170195658,0.93275,-0.03373917236432611
Q3SXP7,3124,15021.0,20938.58010999993,SHISAL1,0.0,0.0,0.0,6.630559136605559,0.8455,-0.023693939393939267
Q96EK2,3112,14735.0,20331.983759999952,PHF21B,0.0,0.0,0.0,11.488264588329336,0.93825,0.09455766872462945
P23142,3102,13659.0,20993.90014999991,FBLN1,0.2545475547229804,0.0,0.0,10.192275302530254,0.909,-0.049758768329709824
Q9BYB4,2969,15004.0,19956.48249999991,GNB1L,0.0,0.0,0.0,11.489314760246451,0.93325,-0.004992554823200379
Q2NKQ1,2913,14631.0,19051.925629999976,SGSM1,0.0,0.0,0.0,12.695493427970558,0.951,-0.019718773058773564
Q9Y698,2726,14918.0,17610.179710000026,CACNG2,0.0,0.0,0.0,15.535181268882177,0.993,-0.05358939338034929
O15442,2617,10602.0,17514.37680999994,MPPED1,-0.8169462938625174,0.0,0.0,14.406167603474705,0.9785,-0.09869876715904446
Q9NNW7,2598,13141.0,17141.797850000035,TXNRD2,0.0,-0.0585007246471132,0.0,7.649633064516128,0.868,-0.03789599606730398
O95755,2292,10345.0,15309.364990000016,RAB36,-0.3336458718228471,0.0,0.0,6.05797175639894,0.84975,0.010312292690137781
Q07869,2195,14774.0,14175.30244,PPARA,0.0,0.0,0.0,9.991737379310344,0.90625,0.04385434175515712
Q9BWT7,2190,10833.0,14588.274209999978,CARD10,0.0,-0.5644117447154984,0.0,14.712509003296981,0.98575,-0.07740318862706808
P49674,2180,8916.0,14677.630700000049,CSNK1E,-0.23236948974686,0.0,0.0,12.228363972530376,0.9465,-0.01605434234832437
P56706,2054,10323.0,13730.361100000018,WNT7B,0.0,0.0,0.0,8.01445295281153,0.88475,0.09770388374242422
